id,p2p_id,sim_id,group,random_id,score
9950,5365b97f-b14c-4f82-9b21-279bf986ad15,202,group1,4713,83
9971,829d08e3-b92b-45f4-bfeb-3519abfa8e68,202,group2,2707,148
9992,93070891-648e-4e07-a1ff-db008aef7ba2,202,group1,496,0
9989,5fa5e083-65f8-4b9a-8ec5-3cbf8c6b5e9c,202,group2,9649,97
9993,a3f49f81-79b8-4f11-ac0b-f98a1874f6f1,202,group2,8148,0
9990,c1d0609b-0d68-4c54-a951-fdac46978537,202,group2,6956,0
9996,1561e150-79eb-499c-82f0-7d9a6f54752b,202,group2,6510,0
9926,5bf7bb14-a550-4368-857a-77ff5bd4e9e6,202,group2,4483,202
9932,d67b0fb9-01d4-4868-9f0a-be03035457b7,202,group2,6975,21
9999,15ffba1b-e777-4cc8-a2a0-87c2bf8af300,202,group2,2493,0
9929,107ab104-3357-4c97-beb5-b33c0a594aff,202,,6640,0
10001,816764de-45f9-427f-a334-2392d4e8b539,202,group1,9290,30
10002,0968f02f-0891-478c-add6-59559fbb7ee4,202,group1,2084,0
9943,04fa0c41-d081-4e36-af22-437ab767ee43,202,group2,7062,110
9998,3074ae50-92bc-4366-ba2b-e35a09b7c87f,202,group2,8743,51
9964,029cdff2-5425-42e4-86e7-d80711d12450,202,group1,4855,151
10006,31266024-c5d3-4930-b01a-4a9153fdb51b,202,,5744,0
9965,040b67f7-a9f3-4452-bc76-3cece9dcb621,202,group2,9593,51
9953,5afd4481-55ae-43a7-ba2a-d4ae579225c2,202,group2,8666,48
10000,e5189170-8d6c-4be1-8581-16d8eca41ea3,202,group1,6558,73
10091,04bdfbc6-e1f2-4967-8844-0efcf2639453,202,group1,580,0
10010,e94d3fe4-21ab-43e4-aedc-12be6e42295f,202,group2,4459,0
10032,7e783a65-bccd-4893-9840-5fb4e7a81f56,202,group1,8734,10
10090,8337a28a-a7da-47bd-bced-42ffa02a0345,202,group1,8925,45
10046,ed46235c-523d-4d1f-a03b-ce92c21c7abc,202,group2,6988,34
10019,fa45afaf-8787-494d-9257-aae333e15fc8,202,group1,5331,0
10039,3e3ab4d5-aae8-4db7-8052-377325906f07,202,group1,8440,10
10020,4d1fe2bd-1c50-4935-a45b-99200dc49fe8,202,group1,4986,30
10038,37b14ec0-f76e-4cb6-8efe-3a73d98be45e,202,group2,8137,0
10012,87495b8d-e576-47ad-bcf5-b3347264e18f,202,group1,2582,10
10015,426a77a4-dcc2-424d-8325-5404dc2fbfa5,202,group2,5403,0
10069,82db7fbc-097d-44f6-b6c4-1066453adda2,202,group2,2024,244
10061,2db4baa3-283d-41f5-beae-8b22aa190d20,202,group2,183,85
10018,f57d890e-08f1-4422-a53a-e97657f06dbb,202,group2,5043,0
10040,c3612a81-ea01-4be1-bb56-eea85eee50ee,202,group1,744,0
10050,1f7a0232-9b05-4056-b54c-f3c65c312ff8,202,group2,9312,107
10042,f2f855d2-d5d9-456c-b39e-f836cedbd4a9,202,group1,1247,17
10071,7d16878c-7fac-4b01-98ee-bd735d8c2c4b,202,group2,6868,99
10041,0d717f27-ff94-4d59-b813-b6e9af296d7c,202,group2,8444,0
10043,656a9687-3517-4139-b779-cb4b864a92fc,202,group2,592,122
10016,dee5ade4-8336-4511-b355-182b155cbf09,202,group1,8596,50
10058,c7759a4d-e190-40c8-a474-d80476204aa7,202,,8664,159
10009,fde36b15-508d-4ed7-9dcb-a7ee541f4e90,202,group2,1226,152
10011,8ca3e66c-df60-41e8-bdfe-adc94601b673,202,,3529,153
10073,ab533bb0-ad4c-4ce8-8dda-dee11558be35,202,group2,6538,127
10014,59e0766b-f911-4716-a1bc-d048206c67b7,202,group2,5446,76
10033,f2db4991-8019-494e-be72-11d23d94ad1b,202,group2,274,37
10065,533dfabd-a1bb-4d30-bb7a-8fdd60fed912,202,group1,6475,125
10030,13387839-be04-435c-aa0f-87f1b581068e,202,group1,6922,0
10029,ae13ec7e-8121-46f1-bfe9-44ae3c264ce5,202,group2,4160,0
10068,d85a4a6e-f1d8-4932-a9a1-5771ffae354a,202,group1,4685,30
10059,f10326ee-652a-46c9-94c2-73623f902ecc,202,group1,3378,10
10027,290e9c9a-eba7-4901-a038-4c664670b542,202,group1,154,67
10036,f173238c-488e-4cb2-bf04-d1c626dc45d7,202,group2,8684,0
10087,6bf14f7d-bb03-4bb4-9648-2ca9d5dfd4b7,202,group2,5138,106
10034,326087e6-b533-4797-9934-031d59f357a1,202,group1,7864,0
10035,54306279-3ed2-4cdb-a046-7ad0122df4d5,202,,199,0
10025,4ee27654-7bdc-4f5b-a37e-003248ada845,202,group2,674,68
10045,a344429c-68c8-41c0-81bb-229fc2cf0bff,202,group2,8933,0
10057,19d92c1c-824e-4671-a7cb-ba4945f201e7,202,group1,1833,0
10021,eaeac09d-1ab1-48c9-b70b-d5e047dec59d,202,group2,7499,75
10047,e5d2e03f-cd5f-4bb5-b663-74a0e8d994eb,202,group1,5526,0
10023,aa5d8642-8440-4f62-84ec-9ffd53d92d7d,202,group2,7884,51
10048,242296f1-c5f5-4be3-9f84-eadf266c19e8,202,group2,1553,0
10028,ca709e90-f857-4cd6-9f4c-db15a7bdab9a,202,group2,8110,130
10013,09599e87-1637-4c1a-a003-7e0ac646ea68,202,group2,1403,17
10053,41cafdb5-e514-44c3-bdd0-6314025f8496,202,group2,8681,0
10051,ea3667f2-c8b3-4e5a-ad63-820e4ed5ed1a,202,group2,6713,0
10044,8890ec35-e211-493c-9929-5492e082b6f1,202,group1,5837,100
10079,15a22e32-c3c0-4d05-bfc4-f257dd000c8e,202,group2,2027,17
10066,9fffef27-ccc5-4108-a506-717ad644c2a2,202,group2,7033,0
10084,69c655e9-63d3-44a0-8f2e-91fcf39ce2ff,202,group2,3890,170
10067,3a1e62db-3ac5-474a-b5f1-c394ad1db815,202,group1,3017,0
10062,6f8f039c-ff72-49d7-931c-3192dce2dce3,202,group2,7959,0
10081,ba8ea773-b416-4762-9e33-a242774f7711,202,,868,99
10092,63fbebae-ab6b-43e6-97d8-5b5900406d3a,202,group2,8256,148
10089,77c7edfd-a63f-4e46-91c0-10a068f0e670,202,group2,304,50
10060,b45cbcad-7546-41f4-b5a8-34bba02d30a0,202,group1,9528,10
10070,d736a0f2-de23-4687-addb-c601198d4b5f,202,group1,5766,0
10056,f67e9fb9-ae24-4db7-bed7-ef80a03d7a8e,202,group2,7626,50
10054,d393e1a1-3fed-48a0-91fa-b64c92ed72a1,202,group2,9596,204
10080,16728922-ebc1-4d74-bfb0-b0a53a9bd777,202,group2,2472,0
10088,e949b30e-605f-4206-a280-4457ac7b205b,202,,6604,0
10077,71d73d1d-c7e3-4b4d-9d9f-fe7284b315ad,202,group2,2395,0
10022,e4a864f5-2721-40ab-b56e-7bf01875033f,202,group2,415,0
10064,6f1c8f4a-51e7-4253-a752-5da3e31e0e40,202,group2,6154,136
10049,ea982129-aeb1-4ffb-b7c4-c3442bc39e87,202,group2,7790,51
10075,fa711d66-2e1c-41ad-8948-4c6aaf848de0,202,,2569,15
10078,16d67068-2d49-425f-b4c3-6b0c7856b25e,202,group1,2510,5
10083,657144e9-43f2-4e71-9eb5-e8e610d4fd78,202,group2,9482,0
10037,94419e4f-3510-43f7-9e1f-758fb476863c,202,group1,5635,40
10085,ebb19c4a-189a-4da4-838a-ede4c41ac83a,202,group2,6283,0
10017,69cfc7ad-0590-4ea9-92f7-ad15cb0b8ba8,202,group2,9203,15
10063,61816292-6628-42c0-ba8b-5228250edc6f,202,,4696,0
10082,34c7af0a-169c-4e11-8429-f92792ef14a3,202,group1,6202,30
10026,5021b41a-33b5-4e07-a403-bd7d9bee1dae,202,group1,4496,97
10086,d053dc96-df36-41f1-be82-62a5f36b9874,202,group1,6833,95
10074,8a3ab4e6-c2cb-47c7-bc4a-c46a9ab9fe36,202,group2,8070,9
10072,2eda5972-ba1f-4889-b261-bd1b01e1b8e0,202,group1,1037,30
10076,e259629b-7314-43c3-9839-305edefe230c,202,group2,845,22
10024,18340af6-0187-4d1a-885f-adc54cfaa7f7,202,group1,8943,0
10031,c51f6f02-4bb7-4c19-8e54-bdb349e9d034,202,,6043,42
10052,6e523eac-f8a9-4df5-b176-881faaf64ab0,202,group1,5936,10
10105,728c16f5-4f3b-409c-8640-787ddb23388e,202,group2,918,34
10137,0e880815-b886-4c75-9a54-6ac3caa03b0d,202,group1,4956,20
